Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;08;19;09;00;9.24;51.00;1013.00;0.00;0.00;3.00;0.00;0.00;3.00;58.09;348.88;37.69;263.42;51.05;263.93;82.76;244.22;45.72
2018;08;19;10;00;10.56;47.00;1012.80;0.00;0.00;3.00;0.00;0.00;3.00;58.09;499.29;39.71;261.14;54.99;261.34;70.14;252.68;48.24
2018;08;19;11;00;11.45;44.00;1012.60;0.00;0.00;10.00;0.00;0.00;10.00;53.62;606.09;41.31;259.96;55.93;259.99;65.75;255.74;46.08
2018;08;19;12;00;12.13;43.00;1012.50;0.00;0.00;5.00;0.00;0.00;5.00;56.81;660.38;41.44;258.98;55.78;258.84;65.38;253.36;45.72
2018;08;19;13;00;12.60;43.00;1011.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;658.60;41.83;256.56;56.49;255.61;66.41;249.70;46.80
2018;08;19;14;00;12.78;43.00;1012.20;0.00;0.00;1.00;0.00;0.00;1.00;59.36;606.09;42.28;254.19;56.97;253.86;67.72;248.48;46.80
2018;08;19;15;00;12.57;42.00;1012.00;0.00;0.00;1.00;0.00;0.00;1.00;59.36;498.40;42.48;253.25;57.28;252.82;69.96;246.34;46.08
2018;08;19;16;00;12.08;43.00;1012.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;347.99;41.32;251.72;55.90;252.38;70.20;243.83;46.44
2018;08;19;17;00;11.22;45.00;1012.70;0.00;0.00;0.00;0.00;0.00;0.00;29.15;166.43;38.85;249.38;52.03;251.44;68.99;240.63;44.64
2018;08;19;18;00;10.21;47.00;1013.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.35;36.64;247.47;48.50;251.83;71.29;235.91;43.20
2018;08;19;19;00;9.63;48.00;1014.50;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;35.93;245.75;45.42;252.00;73.89;230.34;44.28
2018;08;19;20;00;9.15;50.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;35.10;244.49;43.86;253.80;76.37;224.24;44.64
2018;08;19;21;00;8.70;50.00;1015.90;0.00;0.00;3.00;0.00;3.00;3.00;0.00;0.00;34.79;241.58;42.81;251.87;77.99;217.87;44.64
2018;08;19;22;00;8.22;47.00;1016.90;0.00;0.00;3.00;0.00;3.00;0.00;0.00;0.00;32.29;239.15;39.39;251.90;73.11;212.12;40.68
2018;08;19;23;00;7.47;48.00;1017.40;0.00;0.00;4.00;0.00;4.00;0.00;0.00;0.00;32.78;238.93;40.45;249.15;76.47;216.38;41.76
2018;08;20;00;00;6.80;48.00;1017.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.66;237.67;42.07;246.29;79.49;214.48;39.96
2018;08;20;01;00;6.20;48.00;1017.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34.35;236.98;43.32;244.93;85.39;210.67;39.24
2018;08;20;02;00;5.69;49.00;1018.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.85;237.15;43.83;245.75;91.95;207.77;41.04
2018;08;20;03;00;5.25;48.00;1018.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34.05;236.65;44.45;245.10;93.36;203.40;39.96
2018;08;20;04;00;4.81;48.00;1018.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34.05;236.65;44.45;245.10;93.93;201.35;38.88
2018;08;20;05;00;4.34;47.00;1018.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.98;233.88;43.16;242.15;94.00;200.86;37.08
2018;08;20;06;00;3.99;47.00;1019.60;0.00;0.00;0.00;0.00;0.00;0.00;31.41;0.00;31.83;232.35;40.77;240.95;91.99;198.72;36.36
2018;08;20;07;00;4.12;45.00;1020.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;15.13;30.89;233.53;38.54;240.32;88.47;195.34;34.20
2018;08;20;08;00;5.93;41.00;1020.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;168.21;30.19;230.81;34.76;238.12;84.37;191.07;32.76
2018;08;20;09;00;8.51;37.00;1021.40;0.00;0.00;0.00;0.00;0.00;0.00;60.00;352.44;30.80;224.53;34.30;230.96;79.08;190.49;32.04
2018;08;20;10;00;10.56;34.00;1021.60;0.00;0.00;0.00;0.00;0.00;0.00;60.00;507.30;32.05;218.16;35.67;222.55;72.65;191.14;32.04
