Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;08;18;04;00;6.31;95.00;1000.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;26.21;15.95;31.21;16.76;44.04;44.67;33.12
2018;08;18;05;00;6.44;92.00;1001.30;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;26.65;16.48;31.31;17.39;45.45;40.50;31.68
2018;08;18;06;00;6.50;90.00;1002.10;0.00;0.00;100.00;0.00;0.00;100.00;0.00;3.56;25.73;17.93;30.17;17.35;51.43;43.87;33.12
2018;08;18;07;00;6.60;87.00;1002.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;72.09;22.90;16.44;25.86;16.16;56.79;43.20;33.12
2018;08;18;08;00;7.48;81.00;1003.70;0.00;0.00;0.00;0.00;0.00;0.00;60.00;178.00;22.10;12.23;23.51;11.48;58.34;42.75;34.20
2018;08;18;09;00;8.41;77.00;1005.10;0.00;0.00;0.00;0.00;0.00;0.00;60.00;286.58;21.90;9.46;21.32;4.84;55.80;42.65;33.12
2018;08;18;10;00;9.21;74.00;1005.80;0.00;0.00;0.00;0.00;0.00;0.00;60.00;387.15;21.79;7.59;20.53;2.01;48.18;38.33;30.96
2018;08;18;11;00;9.94;71.00;1005.90;0.00;0.00;0.00;0.00;0.00;0.00;60.00;477.93;22.35;2.77;22.33;358.15;39.95;32.11;28.44
2018;08;18;12;00;11.12;70.00;1005.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;543.79;24.72;16.06;27.50;14.40;32.62;52.62;29.88
2018;08;18;13;00;11.73;68.00;1005.20;0.00;0.00;0.00;0.00;0.00;0.00;60.00;588.29;24.99;11.63;28.53;10.18;33.28;51.15;29.52
